,location,lat,lon,Forecast
0,Mont Saint Michel,48.6359541,-1.511459954959514,6.97
1,St Malo,48.649518,-2.0260409,7.49
2,Bayeux,49.2764624,-0.7024738,6.9
3,Le Havre,49.4938975,0.1079732,7.57
4,Rouen,49.4404591,1.0939658,6.63
5,Paris,48.8588897,2.3200410217200766,8.39
6,Amiens,49.8941708,2.2956951,6.45
7,Lille,50.6365654,3.0635282,6.83
8,Strasbourg,48.584614,7.7507127,8.11
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,5.17
10,Colmar,48.0777517,7.3579641,8.43
11,Eguisheim,48.0447968,7.3079618,8.56
12,Besancon,47.2380222,6.0243622,8.47
13,Dijon,47.3215806,5.0414701,7.72
14,Annecy,45.8992348,6.1288847,9.7
15,Grenoble,45.1875602,5.7357819,11.54
16,Lyon,45.7578137,4.8320114,9.73
17,Gorges du Verdon,43.7496562,6.3285616,7.48
18,Bormes les Mimosas,43.1506968,6.3419285,11.21
19,Cassis,43.2140359,5.5396318,13.16
20,Marseille,43.2961743,5.3699525,13.25
21,Aix en Provence,43.5298424,5.4474738,10.77
22,Avignon,43.9492493,4.8059012,11.72
23,Uzes,44.0121279,4.4196718,10.71
24,Nimes,43.8374249,4.3600687,11.46
25,Aigues Mortes,43.5658225,4.1912837,11.99
26,Saintes Maries de la mer,43.4522771,4.4287172,11.75
27,Collioure,42.52505,3.0831554,11.01
28,Carcassonne,43.2130358,2.3491069,8.52
29,Ariege,42.9455368,1.4065544156065486,3.18
30,Toulouse,43.6044622,1.4442469,8.67
31,Montauban,44.0175835,1.3549991,8.4
32,Biarritz,43.471143749999996,-1.552726590666314,9.26
33,Bayonne,43.4945144,-1.4736657,9.93
34,La Rochelle,46.1591126,-1.1520434,7.88
